Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"8592","25",Blue,"JW",6,0,0,0,0,3,3,12,5,3,15,6,0,5,6,2,0,0,0,0,0,0,6,1,1,1,0.8,1,1,"",Fri Apr 21 2023 05:14:28 GMT+0000 (Coordinated Universal Time)
"5990","12",Red,"JJR",6,0,0,0,0,0,3,0,4,2,10,6,0,5,0,2,0,0,0,0,0,0,10,0.6,0.8,0.9,0.2,0,1,"Eh",Fri Apr 21 2023 05:15:09 GMT+0000 (Coordinated Universal Time)
"8592","12",Red,"ARM",6,0,0,0,0,0,3,0,0,8,0,0,0,10,6,8,0,0,0,0,0,0,10,1,1,1,0.8,1,1,"Too light to get charge in auto",Fri Apr 21 2023 05:15:27 GMT+0000 (Coordinated Universal Time)
"8717","36",Red,"ATC4",0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,10,0.6,0.4,1,0.2,0,1,"",Fri Apr 21 2023 05:17:38 GMT+0000 (Coordinated Universal Time)
"6606","Qual 56",Red,"AS",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6,0.8,0.9,0,0,1,"They’re bad",Fri Apr 21 2023 05:18:08 GMT+0000 (Coordinated Universal Time)
"2960","25",Red,"JW",0,0,0,6,0,0,3,12,0,6,0,0,0,0,0,10,0,0,0,0,0,0,2,0.9,1,1,0.6,1,1,"Appears to only do cubes...",Fri Apr 21 2023 05:20:27 GMT+0000 (Coordinated Universal Time)
"4329","60",Red,"Hh",0,0,0,6,0,0,3,12,3,2,0,9,0,0,3,2,0,0,0,0,0,0,10,0.7,0.6,1,0.4,1,1,"Good med cone",Fri Apr 21 2023 05:21:22 GMT+0000 (Coordinated Universal Time)
"6909","Qual 55",Red,"AS",0,0,0,0,0,0,3,0,3,0,0,6,2,0,0,2,0,0,0,0,0,0,2,1,0.7,1,0.4,0,1,"",Fri Apr 21 2023 05:21:41 GMT+0000 (Coordinated Universal Time)
"4663","37",Red,"ATC4",0,0,0,6,0,0,0,0,4,1,10,6,0,0,3,0,0,0,0,0,0,0,10,0.6,0.7,0.7,0.3,1,1,"",Fri Apr 21 2023 05:22:00 GMT+0000 (Coordinated Universal Time)
"8847","13",Red,"JJR",0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,10,1,1,0.6,0,0,1,"Weird strats",Fri Apr 21 2023 05:25:56 GMT+0000 (Coordinated Universal Time)
"4112","Qual 51",Red,"AS",6,0,0,0,0,0,3,0,1,2,5,0,0,5,0,2,0,0,0,0,0,0,0,1,0.7,0.9,0.4,1,1,"",Fri Apr 21 2023 05:26:20 GMT+0000 (Coordinated Universal Time)
"8847","13",Red,"JJR",0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,10,1,1,0.6,0,0,1,"Weird strats",Fri Apr 21 2023 05:26:22 GMT+0000 (Coordinated Universal Time)
"1501","13",Blue,"ARM",6,0,0,0,0,0,3,8,1,0,15,3,2,0,0,0,0,0,0,0,0,0,2,0.8,0.5,1,0,1,1,"",Fri Apr 21 2023 05:27:17 GMT+0000 (Coordinated Universal Time)
"3932","45",Red,"ATC4",0,0,0,0,0,3,3,12,4,2,5,3,4,5,3,0,0,0,0,0,0,0,10,0.9,0.5,1,0.4,1,1,"",Fri Apr 21 2023 05:28:26 GMT+0000 (Coordinated Universal Time)
"3039","Qual 58",Red,"AS",6,0,0,6,0,3,3,0,6,3,20,3,0,5,3,2,0,0,0,0,0,0,10,1,1,1,0.6,1,1,"",Fri Apr 21 2023 05:30:53 GMT+0000 (Coordinated Universal Time)
"8015","Qual 58",Red,"AS",0,0,3,0,0,0,3,0,2,3,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0.9,1,0.5,1,1,"Floppy intake!!",Fri Apr 21 2023 05:34:43 GMT+0000 (Coordinated Universal Time)
"5006","49",Blue,"Hh",6,0,0,0,0,0,3,0,3,2,15,0,0,0,0,4,0,0,0,0,0,0,10,0.6,1,1,0.4,1,1,"Slow in sub ",Fri Apr 21 2023 05:34:45 GMT+0000 (Coordinated Universal Time)
"3161","34",Red,"",0,4,0,0,4,0,3,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,10,0.6,0.5,1,0.3,1,1,"",Fri Apr 21 2023 05:39:43 GMT+0000 (Coordinated Universal Time)
"503","25",Red,"JW",0,0,0,0,4,0,3,0,4,1,10,0,2,5,0,0,0,0,0,0,0,0,10,0.8,1,0.7,0.7,1,1,"",Fri Apr 21 2023 05:40:53 GMT+0000 (Coordinated Universal Time)
"3161","Qual 57",Red,"AS",0,4,0,0,4,0,3,0,3,3,0,9,0,5,3,2,0,0,0,0,0,0,10,1,1,1,0.5,1,1,"",Fri Apr 21 2023 05:43:20 GMT+0000 (Coordinated Universal Time)
"5006","15",Blue,"ARM",0,0,3,0,0,0,0,12,6,1,15,9,0,5,0,0,0,0,0,0,0,0,10,1,0.7,1,0,1,1,"Wobbly arm",Fri Apr 21 2023 05:43:30 GMT+0000 (Coordinated Universal Time)
"4663","15",Red,"JJR",0,0,0,6,0,0,3,0,4,1,10,3,2,0,0,0,0,0,0,0,0,0,10,0.7,0.8,1,0.4,0,1,"",Fri Apr 21 2023 05:44:14 GMT+0000 (Coordinated Universal Time)
"6657","Qual 57",Blue,"AS",0,0,0,6,0,0,3,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,6,1,1,1,0.6,1,1,"",Fri Apr 21 2023 05:46:29 GMT+0000 (Coordinated Universal Time)
"3538","34",Blue,"ATC4",6,0,0,0,0,0,3,12,5,4,20,3,0,15,3,0,0,0,0,0,0,0,0,1,0.7,1,0.6,1,1,"",Fri Apr 21 2023 05:47:26 GMT+0000 (Coordinated Universal Time)
"4522","Qual 52",Blue,"AS",6,0,0,6,4,0,3,0,9,0,25,9,2,0,0,0,0,0,0,0,0,0,10,1,1,1,0.7,1,1,"",Fri Apr 21 2023 05:50:45 GMT+0000 (Coordinated Universal Time)
"1123","25",Red,"JW",0,0,3,6,4,0,3,0,4,2,20,0,0,0,0,4,0,0,0,0,0,0,10,1,1,1,0.8,1,1,"",Fri Apr 21 2023 05:51:11 GMT+0000 (Coordinated Universal Time)
"955","Qual 52",Red,"AS",6,0,0,6,0,0,3,0,3,1,5,6,2,0,3,0,0,0,0,0,0,0,10,0.7,0.9,1,0.4,1,1,"",Fri Apr 21 2023 05:54:03 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",6,0,0,6,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0.8,1,1,0,0,1,"",Fri Apr 21 2023 05:59:35 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",6,0,0,6,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0.8,1,1,0,0,1,"",Fri Apr 21 2023 05:59:38 GMT+0000 (Coordinated Universal Time)
"1901","35",Red,"ARM",6,0,0,6,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,10,1,1,1,0.3,1,1,"Cube engaged ",Fri Apr 21 2023 05:59:45 GMT+0000 (Coordinated Universal Time)
"1501","35",Red,"ARM",6,0,0,6,0,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,10,1,1,1,0.3,1,1,"Cube engaged 1901 is sus",Fri Apr 21 2023 06:00:08 GMT+0000 (Coordinated Universal Time)
"1629","Qual 50",Red,"AS",0,0,0,6,0,0,3,8,4,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0.7,1,1,0.3,1,1,"",Fri Apr 21 2023 06:00:43 GMT+0000 (Coordinated Universal Time)
"2960","35",Red,"JJR",6,0,0,6,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0.8,1,1,0,0,1,"https://media.tenor.com/gaEpIfzxzPEAAAAM/pedro-monkey-puppet.gif ",Fri Apr 21 2023 06:01:04 GMT+0000 (Coordinated Universal Time)
"3039","Qual 50",Blue,"AS",6,0,0,6,4,0,3,0,6,3,15,9,0,5,3,2,0,0,0,0,0,0,2,1,1,1,0.7,1,1,"",Fri Apr 21 2023 06:04:15 GMT+0000 (Coordinated Universal Time)
"1468","33",Red,"JJR",6,0,3,0,0,0,3,0,5,2,10,6,0,5,0,2,0,0,0,0,0,0,10,0.9,1,1,0.4,1,1,"Dainty",Fri Apr 21 2023 06:12:30 GMT+0000 (Coordinated Universal Time)
"8592","33",Red,"ARM",6,0,0,0,0,0,3,8,3,1,10,3,0,0,3,2,0,0,0,0,0,0,10,0.4,1,1,0.2,1,1,"Browned out a lot",Fri Apr 21 2023 06:12:31 GMT+0000 (Coordinated Universal Time)
"8717","Qual 16",Red,"AS",0,0,0,6,0,0,0,0,0,2,0,0,0,5,3,2,0,0,0,0,0,0,10,0.8,0.8,1,0.2,0,1,"",Fri Apr 21 2023 06:12:49 GMT+0000 (Coordinated Universal Time)
"9062","10",Red,"JW ",0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,10,1,1,1,0.4,1,1,"Shoots cubes, cannonbot",Fri Apr 21 2023 06:18:00 GMT+0000 (Coordinated Universal Time)
"4069","Qual -6",Red,"AS",0,0,3,6,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,10,1,0.5,1,0.5,1,1,"",Fri Apr 21 2023 06:19:19 GMT+0000 (Coordinated Universal Time)
