Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:02 GMT+0000 (Coordinated Universal Time)
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:02 GMT+0000 (Coordinated Universal Time)
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:02 GMT+0000 (Coordinated Universal Time)
"900","Qual 14",Red,"AS",1,0,0,0,0,0,Mobility,Engaged,3,2,1,0,2,1,0,1,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"",Thu Apr 20 2023 15:22:15 GMT+0000 (Coordinated Universal Time)
"14","857",Red,"AJ",1,0,0,0,0,0,None,None,2,2,1,1,0,1,0,1,0,0,0,0,0,0,None,0,0,0,0,Yes,No,"",Thu Apr 20 2023 15:22:21 GMT+0000 (Coordinated Universal Time)
"4905","14",Blue,"WC",0,0,0,0,0,0,Mobility,None,0,0,0,0,0,0,0,0,5,1,2,3,1,2,Engaged,3,0,7,5,Yes,No,"Only defense ",Thu Apr 20 2023 15:22:41 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"3572","14",Red,"KP",0,0,0,0,0,0,Mobility,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,None,10,10,0,2,Yes,Yes,"Pretty garbage",Thu Apr 20 2023 15:22:43 GMT+0000 (Coordinated Universal Time)
"5338","14",Blue,"JJR",1,0,0,0,0,0,Mobility,None,2,3,2,0,0,2,0,2,0,0,0,0,0,0,Engaged,0,0,0,8,Yes,No,"",Thu Apr 20 2023 15:22:47 GMT+0000 (Coordinated Universal Time)
"7428","14",Red,"AK",0,0,0,1,0,0,Mobility,None,0,4,0,0,0,1,1,2,0,0,0,0,0,0,Engaged,3,0,0,6,No,No,"Super slow intake",Thu Apr 20 2023 15:23:18 GMT+0000 (Coordinated Universal Time)
"5172","15",Blue,"WC",0,0,0,0,0,0,None,None,4,3,2,2,0,1,1,1,6,5,0,3,3,1,Engaged,0,0,0,8,Yes,No,"Bad auto",Thu Apr 20 2023 15:30:54 GMT+0000 (Coordinated Universal Time)
"1156","15",Red,"KP",0,1,0,0,0,0,Mobility,Engaged,2,4,0,2,0,1,2,1,0,0,0,0,0,0,Engaged,0,0,0,7,No,No,"",Thu Apr 20 2023 15:30:58 GMT+0000 (Coordinated Universal Time)
"4909","Qual 15",Red,"AS",1,0,0,1,0,0,Mobility,None,6,2,4,1,0,0,1,1,0,0,0,0,0,0,Engaged,0,1,0,4,Yes,No,"",Thu Apr 20 2023 15:31:06 GMT+0000 (Coordinated Universal Time)
"5665","15",Red,"AK",0,0,0,1,0,0,Mobility,None,2,0,2,1,0,0,1,0,0,0,0,0,0,0,Engaged,4,8,0,0,Yes,No,"Almost tipped over when placing ",Thu Apr 20 2023 15:35:19 GMT+0000 (Coordinated Universal Time)
